id_gares;nom_gares;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto
797;Sèvres Rive Gauche;TRAIN N;N;TRAIN;0;0;0;0;0;SNCF;1;0;642353.1546;6858192.5418;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8
899;Villeneuve-le-Roi;RER C;C;RER;0;0;0;0;0;SNCF;1;0;657818.8642;6849010.0051;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c
306;Gare de Lyon;RER A;A;RER;0;0;0;0;0;RATP;1;1;654003.2244;6860637.2778;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a
153;Charles De Gaulle-Étoile;METRO 2;2;METRO;0;0;0;0;0;RATP;1;0;648349.0435;6864095.5436;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1
988;Cité Universitaire;TRAM 3a;3A;TRAMWAY;0;0;0;0;0;RATP;1;0;651435.999;6858012.9351;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614
413;La Défense;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;1;0;644070.5305;6866060.5177;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886
84;Boissière;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;647920.0417;6863228.9677;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0
160;Château de Vincennes;METRO 1;1;METRO;0;0;METRO 1;0;0;RATP;1;0;658933.7619;6860635.4943;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4
604;Odéon;METRO 10;10;METRO;0;0;0;0;0;RATP;1;0;651614.54;6861523.6957;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049
751;Rue de la Pompe;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;647064.7583;6862898.3399;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a
764;Saint-Fargeau;METRO 3bis;3bis;METRO;0;0;0;0;0;RATP;1;0;656320.4457;6863728.6864;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/84385f6415d8d60e0a135171e93312a5
765;Saint-François-Xavier;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;649691.21;6861485.1181;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1
691;Porte de la Chapelle;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;653041.8705;6866550.3731;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49
30;Assemblée Nationale;METRO 12;12;METRO;0;0;0;0;0;RATP;1;0;650183.7135;6862520.0466;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/5629d91af00c9f8af73e2b4cfdbcbb49
353;Hôtel de Ville;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;652382.3765;6862130.6936;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94
504;Malakoff - Plateau de Vanves;METRO 13;13;METRO;0;0;0;0;0;RATP;1;0;648492.7655;6858286.7118;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1
659;Poissonnière;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;652236.5668;6864316.7882;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
1211;Porte de Saint-Ouen;TRAM 3b;3B;TRAMWAY;0;0;0;0;0;RATP;1;0;650866.4949;6866615.8591;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
350;Hôpital Delafontaine;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;1;0;653922.6904;6870584.5906;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
989;Stade Charléty;TRAM 3a;3A;TRAMWAY;0;0;0;0;0;RATP;1;0;651965.5329;6857914.0606;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614
1080;Timbaud;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;1;0;648760.6281;6870606.2342;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
1090;Victor Basch;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;1;0;643534.0094;6868503.8193;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886
1096;Marie de Miribel;TRAM 3b;3B;TRAMWAY;0;0;0;0;0;RATP;1;0;656688.5819;6862236.1407;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
